Baseline Fluorescence (mV),Baseline Fluorescence std (mV),Experiment_ID,Tube_Number
413.4166666666667,2.722080495176846,Exp0014E19,3.0
410.0,1.8257418583505538,Exp0014E19,4.0
409.4166666666667,2.3614378858841256,Exp0014E19,5.0
411.1666666666667,3.5551215012835904,Exp0014E19,6.0
403.3333333333333,2.9249881291307074,Exp0014E19,7.0
388.8333333333333,2.733536577809454,Exp0014E19,8.0
762.1666666666666,2.266911751455907,Exp0014E7,1.0
738.75,2.0866640042581523,Exp0014E7,2.0
720.25,4.205650960315181,Exp0014E7,3.0
727.8333333333334,3.0776975521032313,Exp0014E7,4.0
732.5,2.327373340628157,Exp0014E7,5.0
704.75,2.165063509461097,Exp0014E7,6.0
703.0,2.160246899469287,Exp0014E7,7.0
671.3333333333334,1.5456030825826172,Exp0014E7,8.0
427.0833333333333,2.289771944005681,Exp0014E20,1.0
432.6666666666667,2.896357866163795,Exp0014E20,2.0
421.25,3.467107343785787,Exp0014E20,3.0
419.6666666666667,3.118047822311618,Exp0014E20,4.0
414.5,3.095695936834452,Exp0014E20,5.0
411.4166666666667,2.6601482832520613,Exp0014E20,6.0
405.6666666666667,2.5276251480171834,Exp0014E20,7.0
380.3333333333333,2.5276251480171834,Exp0014E20,8.0
774.5,1.707825127659933,Exp0014E8,1.0
740.9166666666666,2.215789300051388,Exp0014E8,2.0
731.3333333333334,2.6246692913372707,Exp0014E8,3.0
734.1666666666666,1.771690968789108,Exp0014E8,4.0
737.9166666666666,2.531742921827219,Exp0014E8,5.0
724.4166666666666,2.2897719440056807,Exp0014E8,6.0
696.75,1.8763883748662837,Exp0014E8,7.0
683.0833333333334,1.4409680388158816,Exp0014E8,8.0
417.1666666666667,1.51840559652405,Exp0014E21,1.0
424.25,1.8763883748662837,Exp0014E21,2.0
392.4166666666667,1.7057907908715602,Exp0014E21,3.0
396.9166666666667,1.114924013354971,Exp0014E21,4.0
408.25,1.1636866703140785,Exp0014E21,5.0
395.75,1.5343293866268306,Exp0014E21,6.0
389.0833333333333,1.4976833963009524,Exp0014E21,7.0
358.8333333333333,0.8975274678557507,Exp0014E21,8.0
745.8333333333334,2.9674156357941426,Exp0014E9,1.0
755.9166666666666,3.277660073216189,Exp0014E9,2.0
716.0,3.7416573867739413,Exp0014E9,3.0
727.3333333333334,3.423773097362356,Exp0014E9,4.0
743.1666666666666,5.030462757595523,Exp0014E9,5.0
693.5,3.570714214271425,Exp0014E9,6.0
693.5833333333334,4.050891534245545,Exp0014E9,7.0
659.1666666666666,4.199867722784718,Exp0014E9,8.0
422.25,1.920286436967152,Exp0014E22,1.0
424.0833333333333,2.0598678490513795,Exp0014E22,2.0
402.75,2.419538523492996,Exp0014E22,3.0
409.25,8.022104877565905,Exp0014E22,4.0
416.6666666666667,2.3921166824012206,Exp0014E22,5.0
404.1666666666667,2.881936077631764,Exp0014E22,6.0
396.3333333333333,4.570436400267362,Exp0014E22,7.0
370.9166666666667,1.3819269959814167,Exp0014E22,8.0
764.5833333333334,3.2521360501813095,Exp0014E10,1.0
758.75,2.6180463454008347,Exp0014E10,2.0
716.75,3.3695944365259547,Exp0014E10,3.0
740.5833333333334,3.426814199158682,Exp0014E10,4.0
729.9166666666666,3.661928757119972,Exp0014E10,5.0
721.0833333333334,3.3281209246193093,Exp0014E10,6.0
714.25,3.0584582172504278,Exp0014E10,7.0
665.9166666666666,2.253084305765962,Exp0014E10,8.0
427.8333333333333,1.818118685772619,Exp0014E23,1.0
414.5833333333333,2.289771944005681,Exp0014E23,2.0
389.5833333333333,2.752524094152291,Exp0014E23,3.0
395.0833333333333,1.8008485654145259,Exp0014E23,4.0
392.1666666666667,1.6749792701868151,Exp0014E23,5.0
376.1666666666667,1.863389981249825,Exp0014E23,6.0
365.25,1.479019945774904,Exp0014E23,7.0
364.6666666666667,1.8856180831641267,Exp0014E23,8.0
422.4166666666667,2.2530843057659626,Exp0014E24,1.0
427.0,1.0,Exp0014E24,2.0
404.25,1.479019945774904,Exp0014E24,3.0
410.6666666666667,1.178511301977579,Exp0014E24,4.0
407.0833333333333,1.9346977943739834,Exp0014E24,5.0
398.0833333333333,0.8620067027323833,Exp0014E24,6.0
394.0833333333333,1.552328000849763,Exp0014E24,7.0
358.5833333333333,1.440968038815882,Exp0014E24,8.0
749.1666666666666,3.023059524536176,Exp0014E12,1.0
743.9166666666666,3.2264101137676566,Exp0014E12,2.0
699.75,3.2945662334617993,Exp0014E12,3.0
708.3333333333334,3.324989557210001,Exp0014E12,4.0
699.6666666666666,3.5433819375782165,Exp0014E12,5.0
682.1666666666666,4.038013813195239,Exp0014E12,6.0
644.5,3.095695936834452,Exp0014E12,7.0
661.5833333333334,3.522743564641375,Exp0014E12,8.0
423.0833333333333,2.2530843057659626,Exp0014E25,1.0
428.0833333333333,2.0190069065976197,Exp0014E25,2.0
409.6666666666667,2.2484562605386738,Exp0014E25,3.0
411.9166666666667,2.3258809561588105,Exp0014E25,4.0
405.5,2.362907813126304,Exp0014E25,5.0
396.8333333333333,2.8819360776317637,Exp0014E25,6.0
395.25,1.8314384146529925,Exp0014E25,7.0
367.9166666666667,2.361437885884126,Exp0014E25,8.0
430.8333333333333,1.9075871903765995,Exp0014E14,1.0
425.5,1.6072751268321592,Exp0014E14,2.0
397.75,2.2407216099581255,Exp0014E14,3.0
412.25,2.0463381929681126,Exp0014E14,4.0
411.8333333333333,2.544056253745625,Exp0014E14,5.0
409.3333333333333,2.838231060987734,Exp0014E14,6.0
397.5833333333333,1.8465433171800283,Exp0014E14,7.0
386.6666666666667,2.0949675149960894,Exp0014E14,8.0
422.5833333333333,2.2157893000513886,Exp0014E26,1.0
418.0833333333333,1.1873172373979173,Exp0014E26,2.0
401.9166666666667,1.8008485654145259,Exp0014E26,3.0
415.5,1.5545631755148024,Exp0014E26,4.0
400.5,1.0408329997330663,Exp0014E26,5.0
394.0,1.4142135623730951,Exp0014E26,6.0
388.4166666666667,1.5523280008497633,Exp0014E26,7.0
380.3333333333333,0.6236095644623235,Exp0014E26,8.0
438.1666666666667,2.266911751455907,Exp0014E15,1.0
422.9166666666667,1.3202482931462383,Exp0014E15,2.0
403.3333333333333,1.7480147469502527,Exp0014E15,3.0
406.5833333333333,0.9537935951882998,Exp0014E15,4.0
413.9166666666667,1.9773017529507788,Exp0014E15,5.0
401.25,1.6393596310755,Exp0014E15,6.0
390.4166666666667,1.1873172373979173,Exp0014E15,7.0
382.3333333333333,4.307615994440028,Exp0014E15,8.0
430.25,1.479019945774904,Exp0014E27,1.0
430.6666666666667,1.3743685418725535,Exp0014E27,2.0
413.1666666666667,1.3437096247164249,Exp0014E27,3.0
414.8333333333333,2.0344259359556176,Exp0014E27,4.0
412.8333333333333,2.1147629234082532,Exp0014E27,5.0
401.0833333333333,1.2555432644432802,Exp0014E27,6.0
402.5,1.118033988749895,Exp0014E27,7.0
379.25,0.924211375534118,Exp0014E27,8.0
747.8333333333334,3.435921354681384,Exp0014E11,1.0
762.5,2.533114025595111,Exp0014E11,2.0
744.0833333333334,3.5463204718255357,Exp0014E11,3.0
748.8333333333334,5.398044913567215,Exp0014E11,4.0
741.0,4.123105625617661,Exp0014E11,5.0
718.5833333333334,2.722080495176846,Exp0014E11,6.0
707.8333333333334,2.5440562537456244,Exp0014E11,7.0
